Test Time / s,Voltage / V,Current / A,Cycle Count / 1,Thickness / mm
0.0,4.2,0.0,0,
180000.0,3.7,0.0,50,
360000.0,4.2,0.0,100,5.01
540000.0,3.7,0.0,150,
720000.0,4.2,0.0,200,5.02
900000.0,3.7,0.0,250,
1080000.0,4.2,0.0,300,5.03
1260000.0,3.7,0.0,350,
1440000.0,4.2,0.0,400,5.04
1620000.0,3.7,0.0,450,
1800000.0,4.2,0.0,500,5.05
1980000.0,3.7,0.0,550,
2160000.0,4.2,0.0,600,5.06
2340000.0,3.7,0.0,650,
2520000.0,4.2,0.0,700,5.07
2700000.0,3.7,0.0,750,
2880000.0,4.2,0.0,800,5.08
3060000.0,3.7,0.0,850,
3240000.0,4.2,0.0,900,5.09
3420000.0,3.7,0.0,950,
3600000.0,4.2,0.0,1000,5.1
