test_time_second,voltage_volt,current_ampere,unix_time_second,cycle_count,step_id,step_type,record_index,step_time_second,step_charging_capacity_ah,step_discharging_capacity_ah,step_charging_energy_wh,step_discharging_energy_wh,temperature_t1_celsius,temperature_t2_celsius,temperature_t3_celsius
0.02,2.9215,0.0,1714487599.0,1,1,rest,1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.02,2.9215,0.0,1714487614.0,1,1,rest,2,15.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.02,2.9214,0.0,1714487629.0,1,1,rest,3,30.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.02,2.9214,0.0,1714487644.0,1,1,rest,4,45.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.02,2.9213,0.0,1714487659.0,1,1,rest,5,60.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.02,2.9213,0.0,1714487674.0,1,1,rest,6,75.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90.02,2.9212,0.0,1714487689.0,1,1,rest,7,90.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105.02,2.9211,0.0,1714487704.0,1,1,rest,8,105.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.02,2.921,0.0,1714487719.0,1,1,rest,9,120.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135.02,2.921,0.0,1714487734.0,1,1,rest,10,135.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150.02,2.9209,0.0,1714487749.0,1,1,rest,11,150.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165.02,2.9208,0.0,1714487764.0,1,1,rest,12,165.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.02,2.9207,0.0,1714487779.0,1,1,rest,13,180.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195.02,2.9207,0.0,1714487794.0,1,1,rest,14,195.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210.02,2.9206,0.0,1714487809.0,1,1,rest,15,210.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225.02,2.9205,0.0,1714487824.0,1,1,rest,16,225.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.02,2.9204,0.0,1714487839.0,1,1,rest,17,240.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255.02,2.9203,0.0,1714487854.0,1,1,rest,18,255.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270.02,2.9203,0.0,1714487869.0,1,1,rest,19,270.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285.02,2.9202,0.0,1714487884.0,1,1,rest,20,285.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.02,2.9201,0.0,1714487899.0,1,1,rest,21,300.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315.02,2.92,0.0,1714487914.0,1,1,rest,22,315.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330.02,2.9199,0.0,1714487929.0,1,1,rest,23,330.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345.02,2.9198,0.0,1714487944.0,1,1,rest,24,345.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360.02,2.9197,0.0,1714487959.0,1,1,rest,25,360.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375.02,2.9196,0.0,1714487974.0,1,1,rest,26,375.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390.02,2.9195,0.0,1714487989.0,1,1,rest,27,390.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405.02,2.9194,0.0,1714488004.0,1,1,rest,28,405.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420.02,2.9194,0.0,1714488019.0,1,1,rest,29,420.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
435.02,2.9192,0.0,1714488034.0,1,1,rest,30,435.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450.02,2.9192,0.0,1714488049.0,1,1,rest,31,450.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
465.02,2.919,0.0,1714488064.0,1,1,rest,32,465.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480.02,2.9189,0.0,1714488079.0,1,1,rest,33,480.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
495.02,2.9188,0.0,1714488094.0,1,1,rest,34,495.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
510.02,2.9187,0.0,1714488109.0,1,1,rest,35,510.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.02,2.9186,0.0,1714488124.0,1,1,rest,36,525.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540.02,2.9185,0.0,1714488139.0,1,1,rest,37,540.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
555.02,2.9184,0.0,1714488154.0,1,1,rest,38,555.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
570.02,2.9183,0.0,1714488169.0,1,1,rest,39,570.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585.02,2.9182,0.0,1714488184.0,1,1,rest,40,585.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.02,2.9181,0.0,1714488199.0,1,1,rest,41,600.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
615.02,2.918,0.0,1714488214.0,1,1,rest,42,615.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
630.02,2.9179,0.0,1714488229.0,1,1,rest,43,630.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
645.02,2.9178,0.0,1714488244.0,1,1,rest,44,645.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660.02,2.9176,0.0,1714488259.0,1,1,rest,45,660.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
675.02,2.9175,0.0,1714488274.0,1,1,rest,46,675.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690.02,2.9174,0.0,1714488289.0,1,1,rest,47,690.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
705.02,2.9173,0.0,1714488304.0,1,1,rest,48,705.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720.02,2.9172,0.0,1714488319.0,1,1,rest,49,720.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
735.02,2.9171,0.0,1714488334.0,1,1,rest,50,735.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
750.02,2.9169,0.0,1714488349.0,1,1,rest,51,750.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
765.02,2.9168,0.0,1714488364.0,1,1,rest,52,765.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
