test_time_second,voltage_volt,current_ampere,unix_time_second,cycle_count,step_id,step_time_second,step_charging_capacity_ah,step_discharging_capacity_ah,step_cumulative_capacity_ah,step_charging_energy_wh,step_discharging_energy_wh
0.0,3.8133,0.0,1729695087.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.01,3.8133,0.0,1729695087.0,1,1,0.01,0.0,0.0,0.0,0.0,0.0
10.0,3.8133,0.0,1729695097.0,1,1,10.0,0.0,0.0,0.0,0.0,0.0
20.0,3.8133,0.0,1729695107.0,1,1,20.0,0.0,0.0,0.0,0.0,0.0
30.0,3.8132,0.0,1729695117.0,1,1,30.0,0.0,0.0,0.0,0.0,0.0
40.0,3.8133,0.0,1729695127.0,1,1,40.0,0.0,0.0,0.0,0.0,0.0
50.0,3.8133,0.0,1729695137.0,1,1,50.0,0.0,0.0,0.0,0.0,0.0
60.0,3.8133,0.0,1729695147.0,1,1,60.0,0.0,0.0,0.0,0.0,0.0
70.0,3.8133,0.0,1729695157.0,1,1,70.0,0.0,0.0,0.0,0.0,0.0
80.0,3.8133,0.0,1729695167.0,1,1,80.0,0.0,0.0,0.0,0.0,0.0
90.0,3.8133,0.0,1729695177.0,1,1,90.0,0.0,0.0,0.0,0.0,0.0
100.0,3.8133,0.0,1729695187.0,1,1,100.0,0.0,0.0,0.0,0.0,0.0
110.0,3.8133,0.0,1729695197.0,1,1,110.0,0.0,0.0,0.0,0.0,0.0
120.0,3.8133,0.0,1729695207.0,1,1,120.0,0.0,0.0,0.0,0.0,0.0
130.0,3.8133,0.0,1729695217.0,1,1,130.0,0.0,0.0,0.0,0.0,0.0
140.0,3.8133,0.0,1729695227.0,1,1,140.0,0.0,0.0,0.0,0.0,0.0
150.0,3.8133,0.0,1729695237.0,1,1,150.0,0.0,0.0,0.0,0.0,0.0
160.0,3.8133,0.0,1729695247.0,1,1,160.0,0.0,0.0,0.0,0.0,0.0
170.0,3.8133,0.0,1729695257.0,1,1,170.0,0.0,0.0,0.0,0.0,0.0
180.0,3.8133,0.0,1729695267.0,1,1,180.0,0.0,0.0,0.0,0.0,0.0
190.0,3.8133,0.0,1729695277.0,1,1,190.0,0.0,0.0,0.0,0.0,0.0
200.0,3.8132,0.0,1729695287.0,1,1,200.0,0.0,0.0,0.0,0.0,0.0
210.0,3.8133,0.0,1729695297.0,1,1,210.0,0.0,0.0,0.0,0.0,0.0
220.0,3.8133,0.0,1729695307.0,1,1,220.0,0.0,0.0,0.0,0.0,0.0
230.0,3.8133,0.0,1729695317.0,1,1,230.0,0.0,0.0,0.0,0.0,0.0
240.0,3.8133,0.0,1729695327.0,1,1,240.0,0.0,0.0,0.0,0.0,0.0
250.0,3.8133,0.0,1729695337.0,1,1,250.0,0.0,0.0,0.0,0.0,0.0
260.0,3.8133,0.0,1729695347.0,1,1,260.0,0.0,0.0,0.0,0.0,0.0
270.0,3.8133,0.0,1729695357.0,1,1,270.0,0.0,0.0,0.0,0.0,0.0
280.0,3.8132,0.0,1729695367.0,1,1,280.0,0.0,0.0,0.0,0.0,0.0
290.0,3.8133,0.0,1729695377.0,1,1,290.0,0.0,0.0,0.0,0.0,0.0
300.0,3.8133,0.0,1729695387.0,1,1,300.0,0.0,0.0,0.0,0.0,0.0
310.0,3.8133,0.0,1729695397.0,1,1,310.0,0.0,0.0,0.0,0.0,0.0
320.0,3.8133,0.0,1729695407.0,1,1,320.0,0.0,0.0,0.0,0.0,0.0
330.0,3.8132,0.0,1729695417.0,1,1,330.0,0.0,0.0,0.0,0.0,0.0
340.0,3.8133,0.0,1729695427.0,1,1,340.0,0.0,0.0,0.0,0.0,0.0
350.0,3.8133,0.0,1729695437.0,1,1,350.0,0.0,0.0,0.0,0.0,0.0
360.0,3.8133,0.0,1729695447.0,1,1,360.0,0.0,0.0,0.0,0.0,0.0
370.0,3.8133,0.0,1729695457.0,1,1,370.0,0.0,0.0,0.0,0.0,0.0
380.0,3.8133,0.0,1729695467.0,1,1,380.0,0.0,0.0,0.0,0.0,0.0
390.0,3.8133,0.0,1729695477.0,1,1,390.0,0.0,0.0,0.0,0.0,0.0
400.0,3.8133,0.0,1729695487.0,1,1,400.0,0.0,0.0,0.0,0.0,0.0
410.0,3.8133,0.0,1729695497.0,1,1,410.0,0.0,0.0,0.0,0.0,0.0
420.0,3.8133,0.0,1729695507.0,1,1,420.0,0.0,0.0,0.0,0.0,0.0
430.0,3.8133,0.0,1729695517.0,1,1,430.0,0.0,0.0,0.0,0.0,0.0
440.0,3.8133,0.0,1729695527.0,1,1,440.0,0.0,0.0,0.0,0.0,0.0
450.0,3.8133,0.0,1729695537.0,1,1,450.0,0.0,0.0,0.0,0.0,0.0
460.0,3.8133,0.0,1729695547.0,1,1,460.0,0.0,0.0,0.0,0.0,0.0
470.0,3.8133,0.0,1729695557.0,1,1,470.0,0.0,0.0,0.0,0.0,0.0
480.0,3.8133,0.0,1729695567.0,1,1,480.0,0.0,0.0,0.0,0.0,0.0
490.0,3.8133,0.0,1729695577.0,1,1,490.0,0.0,0.0,0.0,0.0,0.0
500.0,3.8133,0.0,1729695587.0,1,1,500.0,0.0,0.0,0.0,0.0,0.0
510.0,3.8133,0.0,1729695597.0,1,1,510.0,0.0,0.0,0.0,0.0,0.0
520.0,3.8133,0.0,1729695607.0,1,1,520.0,0.0,0.0,0.0,0.0,0.0
530.0,3.8133,0.0,1729695617.0,1,1,530.0,0.0,0.0,0.0,0.0,0.0
540.0,3.8133,0.0,1729695627.0,1,1,540.0,0.0,0.0,0.0,0.0,0.0
550.0,3.8133,0.0,1729695637.0,1,1,550.0,0.0,0.0,0.0,0.0,0.0
560.0,3.8133,0.0,1729695647.0,1,1,560.0,0.0,0.0,0.0,0.0,0.0
570.0,3.8133,0.0,1729695657.0,1,1,570.0,0.0,0.0,0.0,0.0,0.0
580.0,3.8133,0.0,1729695667.0,1,1,580.0,0.0,0.0,0.0,0.0,0.0
590.0,3.8133,0.0,1729695677.0,1,1,590.0,0.0,0.0,0.0,0.0,0.0
600.0,3.8133,0.0,1729695687.0,1,1,600.0,0.0,0.0,0.0,0.0,0.0
610.0,3.8133,0.0,1729695697.0,1,1,610.0,0.0,0.0,0.0,0.0,0.0
620.0,3.8133,0.0,1729695707.0,1,1,620.0,0.0,0.0,0.0,0.0,0.0
630.0,3.8133,0.0,1729695717.0,1,1,630.0,0.0,0.0,0.0,0.0,0.0
640.0,3.8133,0.0,1729695727.0,1,1,640.0,0.0,0.0,0.0,0.0,0.0
650.0,3.8133,0.0,1729695737.0,1,1,650.0,0.0,0.0,0.0,0.0,0.0
660.0,3.8133,0.0,1729695747.0,1,1,660.0,0.0,0.0,0.0,0.0,0.0
670.0,3.8133,0.0,1729695757.0,1,1,670.0,0.0,0.0,0.0,0.0,0.0
680.0,3.8133,0.0,1729695767.0,1,1,680.0,0.0,0.0,0.0,0.0,0.0
690.0,3.8133,0.0,1729695777.0,1,1,690.0,0.0,0.0,0.0,0.0,0.0
700.0,3.8133,0.0,1729695787.0,1,1,700.0,0.0,0.0,0.0,0.0,0.0
710.0,3.8133,0.0,1729695797.0,1,1,710.0,0.0,0.0,0.0,0.0,0.0
720.0,3.8133,0.0,1729695807.0,1,1,720.0,0.0,0.0,0.0,0.0,0.0
730.0,3.8133,0.0,1729695817.0,1,1,730.0,0.0,0.0,0.0,0.0,0.0
740.0,3.8133,0.0,1729695827.0,1,1,740.0,0.0,0.0,0.0,0.0,0.0
750.0,3.8133,0.0,1729695837.0,1,1,750.0,0.0,0.0,0.0,0.0,0.0
760.0,3.8133,0.0,1729695847.0,1,1,760.0,0.0,0.0,0.0,0.0,0.0
770.0,3.8133,0.0,1729695857.0,1,1,770.0,0.0,0.0,0.0,0.0,0.0
780.0,3.8133,0.0,1729695867.0,1,1,780.0,0.0,0.0,0.0,0.0,0.0
790.0,3.8133,0.0,1729695877.0,1,1,790.0,0.0,0.0,0.0,0.0,0.0
800.0,3.8133,0.0,1729695887.0,1,1,800.0,0.0,0.0,0.0,0.0,0.0
810.0,3.8133,0.0,1729695897.0,1,1,810.0,0.0,0.0,0.0,0.0,0.0
820.0,3.8133,0.0,1729695907.0,1,1,820.0,0.0,0.0,0.0,0.0,0.0
830.0,3.8133,0.0,1729695917.0,1,1,830.0,0.0,0.0,0.0,0.0,0.0
840.0,3.8133,0.0,1729695927.0,1,1,840.0,0.0,0.0,0.0,0.0,0.0
