test_time_second,voltage_volt,current_ampere,unix_time_second,cycle_count,step_count,ambient_temperature_celsius,record_index,step_time_second,step_cumulative_capacity_ah,step_cumulative_energy_wh,temperature_t1_celsius
0.0,3.1313,0.0,1559478480.0,1,1,26.7961,1,0.0,0.0,0.0,26.9823
10.00002,3.1315,0.0,1559478480.0,1,1,26.6965,2,10.00002,0.0,0.0,26.949
19.99998,3.1313,0.0,1559478540.0,1,1,26.4641,3,19.99998,0.0,0.0,26.8823
30.0,3.1316,0.0,1559478540.0,1,1,26.3313,4,30.0,0.0,0.0,26.8489
40.00002,3.1315,0.0,1559478540.0,1,1,26.2151,5,40.00002,0.0,0.0,26.7822
49.99998,3.1315,0.0,1559478540.0,1,1,26.0657,6,49.99998,0.0,0.0,26.7655
60.0,3.1313,0.0,1559478540.0,1,1,25.9163,7,60.0,0.0,0.0,26.7322
70.00002,3.1315,0.0,1559478540.0,1,1,25.7503,8,70.00002,0.0,0.0,26.7322
79.99998,3.1316,0.0,1559478600.0,1,1,25.6009,9,79.99998,0.0,0.0,26.6988
90.0,3.1313,0.0,1559478600.0,1,1,25.7337,10,90.0,0.0,0.0,26.6821
100.00002,3.1315,0.0,1559478600.0,1,1,25.7835,11,100.00002,0.0,0.0,26.6821
109.99998,3.1315,0.0,1559478600.0,1,1,25.8001,12,109.99998,0.0,0.0,26.6988
120.0,3.1316,0.0,1559478600.0,1,1,25.6839,13,120.0,0.0,0.0,26.6488
130.00002,3.1316,0.0,1559478600.0,1,1,25.5013,14,130.00002,0.0,0.0,26.6321
139.99998,3.1316,0.0,1559478660.0,1,1,25.3187,15,139.99998,0.0,0.0,26.6154
150.0,3.1316,0.0,1559478660.0,1,1,25.2191,16,150.0,0.0,0.0,26.6321
160.00002,3.1313,0.0,1559478660.0,1,1,25.1195,17,160.00002,0.0,0.0,26.582
169.99998,3.1315,0.0,1559478660.0,1,1,24.9535,18,169.99998,0.0,0.0,26.5487
180.0,3.1316,0.0,1559478660.0,1,1,24.8871,19,180.0,0.0,0.0,26.4986
190.00002,3.1316,0.0,1559478660.0,1,1,24.8705,20,190.00002,0.0,0.0,26.4986
199.99998,3.1316,0.0,1559478720.0,1,1,24.8705,21,199.99998,0.0,0.0,26.5153
210.0,3.1315,0.0,1559478720.0,1,1,24.8207,22,210.0,0.0,0.0,26.4986
220.00002,3.1315,0.0,1559478720.0,1,1,24.8705,23,220.00002,0.0,0.0,26.482
229.99998,3.1316,0.0,1559478720.0,1,1,24.9535,24,229.99998,0.0,0.0,26.5153
240.0,3.1318,0.0,1559478720.0,1,1,25.0365,25,240.0,0.0,0.0,26.5487
250.00002,3.1318,0.0,1559478780.0,1,1,25.0697,26,250.00002,0.0,0.0,26.5654
259.99998,3.1315,0.0,1559478780.0,1,1,25.0697,27,259.99998,0.0,0.0,26.5654
270.0,3.1316,0.0,1559478780.0,1,1,25.2523,28,270.0,0.0,0.0,26.5487
280.00002,3.1315,0.0,1559478780.0,1,1,25.3021,29,280.00002,0.0,0.0,26.5654
289.99998,3.1316,0.0,1559478780.0,1,1,25.3353,30,289.99998,0.0,0.0,26.582
300.0,3.1316,0.0,1559478780.0,1,1,25.4349,31,300.0,0.0,0.0,26.6154
310.00002,3.1316,0.0,1559478780.0,1,1,25.4847,32,310.00002,0.0,0.0,26.582
319.99998,3.1316,0.0,1559478840.0,1,1,25.5677,33,319.99998,0.0,0.0,26.582
