test_time_second,voltage_volt,current_ampere,unix_time_second,cycle_count,step_id,record_index,step_time_second,power_watt,dc_internal_resistance_ohm,ac_internal_resistance_ohm,temperature_t1_celsius
1.0001,2.604223,0.0,1696954154.661,1,1,1,1.0001,0.0,,,26.23123
2.0003,2.604191,0.0,1696954155.661,1,1,2,2.0003,0.0,,,26.19308
3.0003,2.604281,0.0,1696954156.661,1,1,3,3.0003,0.0,,,26.32982
4.0006,2.604256,0.0,1696954157.662,1,1,4,4.0006,0.0,,,26.24436
5.0,2.604334,0.0,1696954158.661,1,1,5,5.0,0.0,,,26.23895
6.0005,2.604295,0.0,1696954159.662,1,1,6,6.0005,0.0,,,26.32524
7.0,2.604331,0.0,1696954160.661,1,1,7,7.0,0.0,,,26.13322
8.0,2.604375,0.0,1696954161.661,1,1,8,8.0,0.0,,,26.28992
9.0005,2.60444,0.0,1696954162.662,1,1,9,9.0005,0.0,,,26.25456
10.0,2.604453,0.0,1696954163.661,1,1,10,10.0,0.0,,,26.21217
11.0001,2.60448,0.0,1696954164.661,1,1,11,11.0001,0.0,,,26.31128
12.0005,2.604482,0.0,1696954165.662,1,1,12,12.0005,0.0,,,26.13151
13.0001,2.604561,0.0,1696954166.661,1,1,13,13.0001,0.0,,,26.2298
14.0004,2.604546,0.0,1696954167.662,1,1,14,14.0004,0.0,,,26.33865
15.0003,2.604606,0.0,1696954168.661,1,1,15,15.0003,0.0,,,26.1349
16.0001,2.604648,0.0,1696954169.661,1,1,16,16.0001,0.0,,,26.34151
17.0003,2.604665,0.0,1696954170.661,1,1,17,17.0003,0.0,,,26.10582
18.0003,2.604705,0.0,1696954171.661,1,1,18,18.0003,0.0,,,26.19961
19.0,2.604722,0.0,1696954172.661,1,1,19,19.0,0.0,,,26.31841
20.0003,2.604728,0.0,1696954173.661,1,1,20,20.0003,0.0,,,26.18738
21.0,2.604765,0.0,1696954174.661,1,1,21,21.0,0.0,,,26.33296
22.0002,2.604843,0.0,1696954175.661,1,1,22,22.0002,0.0,,,26.18368
